Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,Unnamed: 95
Arab World,ARB,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,46.54690888578379,47.1416208779016,47.731783324992,48.3204319602403,48.9100185353286,49.496478440671,50.0729468330094,50.6344153267842,51.182099695510104,51.722023609061296,52.2642104338812,52.8229318031927,53.4068873108735,54.0158543893538,54.642866584549104,55.2779884570801,55.909612321770894,56.5280764080552,57.13390024746101,57.7348595287564,58.345023434312104,58.97735931871821,59.635997315382205,60.3162771302123,61.00376109874951,61.6768157542394,62.3141202992932,62.901345839968606,63.4296870021948,63.898981417554204,64.35157696811089,64.73634052274829,65.0438519725103,65.41490734701611,65.7856525186418,66.1960998468045,66.554102867301,66.8971449635784,67.21809146260951,67.517688947424,67.8005911153485,68.07251851705941,68.3402459940491,68.6105053811856,68.8861877240216,69.1646828025353,69.4394591943507,69.7015546491534,69.94217427062321,70.1575600376968,70.3499162262039,70.5287748030398,70.7038265981398,70.8822537209942,71.0642924201872,71.249571410287,71.43649685377571,71.6225263455783,71.8068251623605,,72.1706496374726,,,,,73.0378404140954,,,,,73.7871181954482,,,,,74.4664203083565,,,,,75.1047027654445,,,,,75.7255141245954,,,,,76.3267264933678,
Caribbean small states,CSS,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,62.74629519329479,63.1261308456172,63.476465945226295,63.8044417753742,64.11379143539381,64.4077212539201,64.6846679103901,64.9436287729809,65.1869921768222,65.4199258741081,65.648808613002,65.8803852956019,66.1188839785719,66.36497478845939,66.61828619142551,66.8756886705474,67.133364477444,67.38520863336821,67.6278521516837,67.8614370197798,68.08672611321279,68.3031339415197,68.5178165655085,68.71895040705529,68.9209374083155,69.1226871763633,69.3297708123637,69.5487096997327,69.7632010563168,69.98418570815521,70.1976310768723,70.39400994559949,70.58806644692442,70.7125399843357,70.8344898687175,70.9375253318003,71.02898983864091,71.163774129209,71.21031996042741,71.3102709815395,71.4191853912982,71.53800044749,71.7133599643454,71.7919862741723,71.92353853996671,72.0557084230969,72.1870242017095,72.3160562895208,72.44079122187891,72.56174733639509,72.6793947679604,72.79529831148079,72.9118034578893,73.03014515012529,73.1505846181052,73.273015980955,73.3959563927788,73.51749249411141,73.6371077650151,,73.8703889040722,,,,,74.4590657859621,,,,,75.08636630805559,,,,,75.7093496557995,,,,,76.3197497410668,,,,,76.93521858774659,,,,,77.5587721916732,
Central Europe and the Baltics,CEB,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,67.8213886391755,68.2621983438663,68.0069256418108,68.696047369717,69.05248453887529,69.2769975955159,69.52707193397801,69.27274218769901,69.5360253048841,69.27573420198141,69.4469550552236,69.4851657458499,69.9254412645743,70.06777719208961,70.3059393692971,70.1744086942295,70.3191488957891,70.2423731482792,70.14793210613949,70.2393969939587,69.8905097980336,70.37205017777741,70.4554733187317,70.3897851694296,70.34911485613421,70.3128834663237,70.5651360397443,70.6117633312342,70.861708225052,70.7319722597485,70.65633133725859,70.5752213034774,70.7328371314157,70.8459866151448,70.86954394474729,71.02542142828909,71.33605801899509,71.51725806968221,71.8982376759956,72.1845610740875,72.71972472277899,73.0961481937343,73.24241548809209,73.3822527825258,73.73715299612759,73.8383001838611,74.09260273080979,74.2506487210768,74.57595267807791,74.93036392665759,75.29396577863142,75.8884748834282,75.99348860345309,76.3551629869808,76.6756236113045,76.57187776477879,76.9698114171911,76.94746535452249,76.97684517184,,77.7431625497705,,,,,78.4897599811183,,,,,79.26723285458391,,,,,80.0386785036518,,,,,80.79482006831991,,,,,81.52046978558342,,,,,82.214535087611,
Early-demographic dividend,EAR,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,45.0908980861791,45.7493592204994,46.3443939935919,46.8749091204046,47.4564366748319,48.0284198249833,48.6436371779506,49.187197474433496,49.71629375831739,50.234982942626104,50.74937109826071,51.268223679272396,51.79354338004029,52.334525454655,52.884407635576494,53.442757410529396,54.00367534665379,54.5535916910175,55.086625266992996,55.5959776416771,56.0781636710785,56.5366453711834,56.97972346728379,57.4175089129152,57.853647410060795,58.291985215208705,58.731698033449796,59.1719668038762,59.608257285783395,60.0478566189731,60.491262763203004,60.928439280575,61.3629260767511,61.7947181359412,62.2150006204144,62.61931900423039,63.005722301183795,63.3732861855551,63.7261205504363,64.06879182057861,64.4030773335238,64.7338660184327,65.0651667446729,65.4022588985855,65.7482173482583,66.10620887707461,66.4803445808796,66.8666471301765,67.26249959898071,67.6616898405646,68.0560210577827,68.4389064410553,68.8032110079368,69.1451710894504,69.4609245541244,69.74850615344421,70.0112233946236,70.2542044815924,70.48319068252171,,70.9090435327411,,,,,71.8946217208488,,,,,72.81141845500959,,,,,73.6441557709374,,,,,74.4171156887115,,,,,75.16168446042849,,,,,75.88074645751959,
East Asia & Pacific,EAS,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,48.4158990605597,48.9441675025035,49.6078940879116,50.573598301432,51.7589388645909,53.115459657166205,54.636410491335106,56.1094053818949,57.4709126131209,58.7004292364434,59.7398505786932,60.6565769074035,61.4484455332435,62.144243620744895,62.8439896562207,63.5147119616585,64.1250858435676,64.7093572165467,65.23399484994471,65.7278205593788,66.1441560412012,66.5642139297666,66.9596382372133,67.2823644943383,67.6149322683249,67.9040852888559,68.17232830119471,68.4096533622614,68.5817779283461,68.7721571499559,68.92754337168701,69.09735411072239,69.24523674539151,69.4172771965604,69.6172114840856,69.7963014863965,70.0644996870216,70.3257514970399,70.584851818643,70.8551711975264,71.1719189098708,71.4817172110982,71.77476482728541,72.0675284177773,72.3611445941669,72.62462074936771,72.9216442984265,73.20093377616179,73.469895568539,73.75912511493149,74.0129968994407,74.2659501236743,74.56212674649849,74.8482143887022,75.12517029179271,75.39255687714599,75.6355408677985,75.8659539130049,76.06833642500929,,76.44774681811009,,,,,77.15585190592279,,,,,77.89367512212841,,,,,78.61508443829571,,,,,79.325419901565,,,,,80.0284555697415,,,,,80.715602332635,
East Asia & Pacific (excluding high income),EAP,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,45.61324200316529,46.0582560175745,46.774328425552,47.7988098660004,49.13719288174521,50.7133845720187,52.412801056884206,54.101115906406605,55.6597622527053,57.032992789571296,58.195541761666696,59.16426007569079,60.007155948225005,60.783774901967,61.51220953839971,62.2030763011621,62.862781093072904,63.4828570394687,64.0579500941452,64.58727736285181,65.068983447232,65.5048561718988,65.9006553497208,66.25835637063851,66.5814035290216,66.87196543139841,67.1295897652836,67.35458538961859,67.5503749469206,67.7246537674106,67.886138330096,68.0436249864629,68.2032433971417,68.3744927510886,68.5624786106032,68.7740937663478,69.0108744229307,69.27021848029861,69.5457763684503,69.83606723305721,70.1361733407827,70.44228545293541,70.74836524557429,71.05126647390941,71.348817419878,71.64072953787449,71.92756970216371,72.2123463950006,72.49664019219492,72.7807241431027,73.0662644084598,73.35512026121191,73.645297438745,73.934377026552,74.2204720452971,74.4962276185303,74.7556141751153,74.9949516020132,75.2105121056207,,75.5954638165214,,,,,76.3338264218379,,,,,77.1016743778967,,,,,77.85038069633559,,,,,78.5862907301717,,,,,79.3130224109443,,,,,80.0201643969891,
East Asia & Pacific (IDA & IBRD countries),TEA,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,45.5397402930785,45.984045544051,46.7039651881353,47.7355426930076,49.082352379166004,50.667158203446,52.374588703456205,54.0698505347509,55.63414728559871,57.0114743314167,58.1764560583112,59.14616072918199,59.9891963390921,60.7657176638583,61.494048377486294,62.1850063980486,62.845149315827506,63.4659084112088,64.0417948146298,64.5719684445675,65.0544501572146,65.490996168667,65.8873713339417,66.24542982067939,66.5685936045095,66.8586402710166,67.1146580676499,67.3369953674018,67.5294731042435,67.700470757802,67.8604137857982,68.0201150516611,68.18670431905721,68.3697653572007,68.5736166490785,68.8029630722689,69.0561630935007,69.3280489600037,69.61058249838679,69.9020157498697,70.19841525443229,70.4979435933254,70.79723056230141,71.0951977651479,71.39032580749429,71.6822416454915,71.9707828469008,72.257386279532,72.5425341797978,72.8262956803853,73.11046440153109,73.39730747239571,73.6854840044133,73.9730978646989,74.25837024253451,74.53395213211199,74.7936145719037,75.03335889831008,75.2492291135899,,75.6344172259249,,,,,76.37065310878769,,,,,77.13704421766629,,,,,77.88446453584051,,,,,78.619189377496,,,,,79.34478339836491,,,,,80.0508323548646,
Euro area,EMU,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,69.2905809133318,69.660271105489,69.6173922647754,69.785545076618,70.2443060030152,70.3291236966585,70.60485701073749,70.7439897224582,70.7934093096004,70.799601317045,71.1581515846638,71.2659677377503,71.6054108879909,71.7003516089586,72.026062052646,72.16923440838471,72.43466829045991,72.7900421162474,73.0111208004543,73.3343658835419,73.5286066635953,73.8113851965438,74.15439695742751,74.2289419796701,74.58734663395109,74.75718779475221,75.05677777801141,75.34820614324241,75.5359303897245,75.7618834568538,75.9118078838782,76.02616245332271,76.3812568149516,76.48795161281079,76.7962739165894,76.9558605938918,77.2184494463154,77.58153600565271,77.7971788752941,78.0212365263314,78.27507037901259,78.5971125428492,78.68446788021829,78.7071795006837,79.27870162689341,79.4262830005968,79.8561324185996,80.09988189272521,80.30291582385391,80.50518154291859,80.74678098455671,81.232824849753,81.2271581727851,81.5123287264807,81.9429827672192,81.5692291055771,81.9545453308911,81.9322152288144,82.0596172798915,,82.3209687479673,,,,,83.0466961310401,,,,,83.7516094509242,,,,,84.4163219203434,,,,,85.0349097627448,,,,,85.63221370193459,,,,,86.2152677461017,
Europe & Central Asia,ECS,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,67.0265416102025,67.3886414084157,67.48004141493689,67.7471799803494,68.1418944283389,68.2907978945691,68.498678263976,68.620621390097,68.68901659210239,68.694251601106,68.9692360676698,69.10567821525639,69.30979442918921,69.4049340042801,69.6087312581851,69.5832177463429,69.6839976221243,69.8563661202831,69.9454520874838,70.06396883404429,70.1683472476976,70.4329333681411,70.7235918716476,70.7930415427262,70.943836979889,71.156816306911,71.64273644508359,71.8601959607405,71.9878202780137,72.0510665470581,72.0515824290765,71.9893147714993,71.8728858399827,71.5497153998391,71.6178936694499,71.7100197265329,72.1276479788479,72.54312272699708,72.8570355542573,72.8717169527753,73.03094508049891,73.29386512713191,73.4083145921392,73.521444908583,73.95677587347629,74.12096021615321,74.6188639946853,74.97960060605229,75.24232700269759,75.6431715027651,75.940684636304,76.464776622306,76.6245521118653,76.95209231701129,77.28593768077391,77.240962449086,77.5932005039425,77.7854251970125,77.9086066864279,,78.1786516847661,,,,,78.8822478091806,,,,,79.6205575804482,,,,,80.3396846431597,,,,,81.0244341265934,,,,,81.68065355393,,,,,82.3127572810189,
Europe & Central Asia (excluding high income),ECA,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,63.18187385868,63.6832766780482,64.06079742827579,64.42124364986871,64.7245403509649,64.9602234736378,65.1412373438956,65.2664410995232,65.41362998418471,65.4928699171449,65.735970028026,65.9216300296049,65.9698544370449,66.0490351327116,66.1259419253203,65.9229306637768,65.8965207483676,65.90026339360111,65.989284447667,65.94934419916291,66.088324707705,66.2994375966879,66.6452016772454,66.7616054126134,66.763285730223,67.2001769343202,68.0263117389411,68.2288028909127,68.2973766721878,68.2377762632976,68.0829280894722,67.8891829113446,67.09752563093471,66.18605975109391,65.9295829641386,65.9708965124611,66.5937663004308,67.2687219094544,67.5861634643777,67.3039984035089,67.3422419645467,67.4926669635973,67.5918502920221,67.7199283949588,68.05341035681371,68.1883688581068,68.8392942152457,69.36876198376329,69.6958479332434,70.3081154950492,70.64357925531,71.2201172791059,71.5971675890401,72.0152699267667,72.27180783927379,72.59582794902501,72.9488194604275,73.4127094788503,73.590781529875,,73.7791901793399,,,,,74.4940752771879,,,,,75.27284252926779,,,,,76.05147286413079,,,,,76.81965762414501,,,,,77.5686811548029,,,,,78.2958655542045,
